name,description
概念設計（システム全体）,"・宇宙機の運用目的に基づき、システムの考え方・構成方針など、システム全体の要件を定める業務。
・具体的には、運用目的達成要件の整理、システム全体要件の定義、システムアーキテクチャの定義、サブシステム間のインタフェース要件の定義等を行う業務が該当する。
・特に、宇宙分野においては、打上げ後の修正が比較的困難であるため、初期段階での要求定義とアーキテクチャ設計の精度がミッション成功に直結する。"
構成管理（コンフィギュレーション管理）,"・宇宙関連製品・システムの構成情報を一元的に管理し、変更の影響を統制する業務。
・具体的には、設計図・仕様書・部品表等の構成情報の登録・更新・履歴管理、変更審査の実施等を行う業務が該当する。
・特に、宇宙分野においては、打上げ後の不具合解析や国際規格への適合性確認のため、厳密な構成管理と変更履歴の追跡が不可欠である。"
構造系の製造,"・設計図に基づき、適切な材料・加工法を用いて、各種部品の製造を行う業務。
・製造された構造系の部品同士の組付けを行う業務。"
構造系の解析,・宇宙機の運用目的達成のために求められる機能・性能要件と、温度や振動等の特定環境条件下における信頼性・安全性要件を満たすことができるよう、宇宙輸送機や人工衛星の構体、各種設備における骨組み・外板等を設計する段階において、特定の環境下におけるシミュレーションを行い、設計解を得る業務。
構造系の設計,・宇宙機の運用目的達成のために求められる機能・性能要件と、温度や振動等の特定環境条件下における信頼性・安全性要件を満たすことができるよう、宇宙輸送機や人工衛星の構体、各種設備における骨組み・外板等の設計を行う業務。
構造系の試験,・設計段階から製造後の段階において、材料や部品、製作したシステムが機能・性能要件及び信頼性・安全性要件を満たしているかの検証を行い、また必要に応じて、設計検証を実施する業務。
標準化対応,"・製品やサービス、システムの特定の基準や規格への準拠（適合）を行う業務。
・具体的には、標準規格に基づいた自社規格の設定、現状分析、改善計画の策定、実行・監視等を行う業務が該当する。
・特に、宇宙輸送機や人工衛星のコンポーネントの開発においては、ISO等の標準規格に基づいた開発製造が求められる。"
機体受入検査,"・射場に搬入されたロケット各段や構成品の健全性を確認する業務。
・具体的には、外観検査、寸法確認、接続部の状態確認、輸送時の損傷有無のチェック等を行う業務が該当する。"
機体搬入,"・宇宙輸送機および衛星の打上げに向けて、組立棟へ機体の搬入を行う業務。
・具体的には、ロケット各段の受入検査、射点クレーン・支援装置の操作等を行う業務が該当する。"
機体整備点検,"・回収した再使用が可能な機体の整備・点検を行い、再使用可否を判断する業務。
・再使用が可能な場合は、改修、再整備を行い、再度非破壊検査・性能試験等を実行する業務が該当する。"
機体移送・設置,"・宇宙輸送機を発射台へ移送し、固定化する業務。
・具体的には、機体の移送計画に基づき、発射台への据付、支援装置との接続、固定化作業を行う業務が該当する。"
機体統合・点検,"・宇宙輸送機の各系統について統合・点検を行う業務。
・具体的には、バッテリー・配線・圧力系統、推進系（バルブ・配管）、構造系（接合部・フィッティング）、通信試験、センサ機器の自己診断試験、システム統合試験等を行う業務が該当する。"
機構系の製造,"・設計図に基づき、適切な材料・加工法を用いて、各種機構系部品の製造を行う業務。
・製造された機構系の部品同士の組付けを行う業務。"
機構系の解析,・宇宙機の運用目的達成のために求められる機能・性能要件と、温度や振動等の特定環境条件下における信頼性・安全性要件を満たすことができるよう、宇宙輸送機や人工衛星の機構系（可動部、展開機構、保持・分離機構等）を設計する段階において、特定の環境下におけるシミュレーションを行い、設計解を得る業務。
機構系の設計,・宇宙機の運用目的達成のために求められる機能・性能要件と、温度や振動等の特定環境条件下における信頼性・安全性要件を満たすことができるよう、宇宙輸送機や人工衛星の機構系（可動部、展開機構、保持・分離機構等）の設計を行う業務。
機構系の試験,・設計段階から製造後の段階において、材料や部品、製作したシステムが機能・性能要件及び信頼性・安全性要件を満たしているかの検証を行い、また必要に応じて、設計検証を実施する業務。
気象観測,"・宇宙輸送機の安全かつ確実な打上げ実施に向けて、気象条件を観測する業務。
・具体的には、雷・強風・大雨等の気象データを収集・分析し、打上げの可否判断に資する情報を提供する業務が該当する。"
海外向けＰＲ,"・海外向けの広報活動を行う業務。
・具体的には、英語でのプレスリリース作成、国際展示会での発信、海外メディア対応を行う業務が該当する。
・特に、宇宙分野においては、グローバルな信頼獲得と国際競争力の強化が必要となる。"
海外展開戦略の企画・調整,"・海外事例や政府内連携を踏まえた事業戦略の企画と展開体制の構築を行う業務。
・具体的には、国際市場の分析、現地パートナーとの連携、展開スキームの設計等を行う業務が該当する。"
無線免許申請,"・無線局の運用に必要な免許を取得するため、国内外の制度に基づいて申請手続きを遂行する業務。
・具体的には、国内では電波法等に基づく無線局免許手続き、国際ではITUの無線通信規則（RR）および Rule of Procedure（RoP）に従って、申請書作成、登録提出、国際会議での周波数・軌道の権利主張を行う業務が該当する。
・特に、宇宙分野においては、軌道・周波数資源の確保が事業の根幹に関わるため、制度的・技術的両面で高度な専門性が必要となる。"
熱制御系の製造,"・設計図に基づき、適切な材料・加工法を用いて、各種部品の製造を行う業務。
・製造された熱制御系の部品同士の組付けを行う業務。"
熱制御系の解析,・宇宙機の運用目的達成のために求められる機能・性能要件および信頼性・安全性要件を満たすことができるよう各サブシステムを設計する段階において、打上げから軌道上運用までの熱的環境下におけるシミュレーションを行い、設計の最適化を行う業務。
熱制御系の設計,・宇宙機の運用目的達成のために求められる機能・性能要件および信頼性・安全性要件を満たすことができるよう、打上げから軌道上運用までの宇宙輸送機や人工衛星が遭遇する熱的環境を踏まえて、熱制御方式やヒータ・ラジエータ等の設計を行い、温度要求を満たすよう全体最適化する業務。
熱制御系の試験,・設計段階から製造後の段階において、特定の熱的環境下において、材料や部品、製作したシステムが機能・性能要件及び信頼性・安全性要件を満たしているかの検証を行い、また必要に応じて、設計検証を実施する業務。
燃料充填,"・宇宙輸送機の打上げに向けて、燃料・酸化剤の充填および推進系の最終点検を行う業務。
・具体的には、充填作業、推進剤温度管理、バルブ系制御、漏洩確認、圧力調整等を行う業務が該当する。"
燃料貯蔵設備管理,"・推進剤や高圧ガスを安全かつ適切に保管するための設備の管理を行う業務。
・具体的には、温湿度管理、危険物取扱基準の遵守、在庫管理システムの運用等を行う業務が該当する。"
生産管理,"・製品（宇宙分野の場合は宇宙機等）の生産活動を計画・調整・監視し、品質・コスト・納期を最適化する業務。
・具体的には、生産計画の立案、資材・設備の手配、進捗管理、在庫管理、品質保証などの業務が該当する。
・特に、宇宙分野においては、将来的に宇宙機の量産を行うようになった場合に、宇宙機製造における全体の生産計画を立てる業務が重要となる。"
画像解析アルゴリズムの設計,"・衛星画像の解析に用いるアルゴリズムを設計する業務。
・具体的には、画像分類・物体検出・変化検出等のアルゴリズム設計を行う業務が該当する。
・特に、宇宙分野においては、雲や地物の識別、災害検知、農地評価等の目的に応じて、高精度かつ大規模データに対応可能なアルゴリズム設計が求められる。"
発注管理,"・部材やサービスの発注に関する一連のタスクを管理する業務。
・具体的には、必要な仕様・数量・納期を確認し、発注書の作成、取引先との条件調整、発注内容の記録・追跡を実施する業務が該当する。
・特に、宇宙分野においては、多様な部品を調達することから調達契約の作成や管理が重要となる。"
知的財産権管理,"・知的財産権の取得・維持・活用を管理する業務。
・具体的には、特許・商標の出願・更新、侵害対応、契約管理を行う業務が該当する。
・特に、宇宙分野においては、技術の独自性と保護が事業の根幹となる。"
知財戦略立案,"・知的財産の活用・保護に関する戦略を立案する業務。
・具体的には、特許出願方針、ライセンス戦略、共同開発時の知財分配設計を行う業務が該当する。
・特に、宇宙分野においては、技術優位性の確保と国際競争力の維持が必要となる。"
社内規定整備,"・社内規定を整備・管理する業務。
・具体的には、就業規則、安全管理規程、情報管理規程等を運用・整備する業務が該当する。
・特に、宇宙分野においては、輸出管理・安全保障・衛星運用に関する独自の規程整備が必要となる。"
税務処理,"・税務申告・納税対応を行う業務。
・具体的には、法人税・消費税・源泉所得税等の計算・申告・納付を行う業務が該当する。
・特に、宇宙分野においては、補助金・研究開発費の税務処理や国際取引に関する税務対応が必要となる。"
管理会計,"・事業別・プロジェクト別の収支管理を行う業務。
・具体的には、原価計算、予算管理、収益性分析等を行う業務が該当する。
・特に、宇宙分野においては、衛星ミッション単位での採算管理が求められる。"
納品管理,"・調達品の納品状況を管理する業務。
・具体的には、納期の確認、納品物の受領、納品遅延時の対応等を行う業務が該当する。
・特に、宇宙分野においては、打上げスケジュールとの整合が重要であり、納品遅延がミッション全体に影響するため厳格な管理が必要となる。"
組付け・組立て（アッセンブリ）,"・個別に製造された部品・ユニットを設計図や仕様書に基づいて組み立て、サブシステムやモジュールを形成する業務。
・具体的には、トルク管理や位置合わせ等の工程管理を行いながら、機械的・電気的接続を行う業務が該当する。
・特に、宇宙分野においては、微小な誤差が重大な不具合につながるため、精密な組立てと工程管理が重要となる。"
組織ガバナンス管理,"・組織におけるガバナンス体制の整備および運営を担う業務。
・具体的には、企業の意思決定体制の整備、取締役会・経営会議の運営支援、内部統制・監査体制の構築を行う業務が該当する。
・特に、宇宙分野においては、国家安全保障や国際連携に関わる意思決定が多く、透明性と正当性の高いガバナンス体制が必要となる。"
経営戦略の策定,"・中長期的な企業成長および競争力確保を目的として、企業全体の経営戦略を立案・整理する業務。
・具体的には、国内外の政策、産業動向、市場環境、技術トレンド、国家プロジェクトの動向、制度動向等を踏まえ、関係省庁、研究機関、民間企業等との連携方針を含め、事業ポートフォリオや参入・撤退方針、事業推進計画等の検討を行う業務が該当する。"
落下位置シミュレーション,"・宇宙輸送機の打上げに伴う機体の落下位置を予測し、関係機関・ステークホルダーと共有する業務。
・具体的には、飛行経路・分離タイミング・風向等を考慮したシミュレーションを行い、海域・陸域への影響を評価する業務が該当する。"
衛星機体状態監視,"・テレメトリデータ（衛星から送信される電圧・電流・温度・姿勢角・軌道要素等の計測値）を用いて、衛星の状態を監視する業務。
・具体的には、電力系、熱系、姿勢系、軌道系、通信系等各サブシステムの状態や異常兆候をリアルタイムで把握する業務が該当する。"
衛星統合・点検,"・打上げに向けて、衛星の搭載および分離機構等の結合・点検を行う業務。
・具体的には、フェアリング開錠後の動作確認、アクセス最終点検、分離機構の整合性確認等を行う業務が該当する。"
衛星通信ネットワーク管理,"・衛星通信ネットワークの管制および障害対応を行う業務。
・具体的には、アンテナの制御、電波監視環境の維持、トランスポンダの割当・変更、電波監視測定データの解析を通じて、電波干渉や通信障害の原因特定とその排除を行う業務が該当する。"
補助金・官公庁資金の会計対応,"・官公庁からの資金提供に関する会計処理を行う業務。
・具体的には、補助金の収支管理、報告書作成、監査対応等を行う業務が該当する。
・特に、宇宙分野においては、JAXAや官公庁等からの資金補助が多く、厳格な管理が求められる。"
製造工程管理,"・現場の「製造工程」を計画・監視・改善し、品質・コスト・納期を最適化する業務。
・具体的には、工程設計、作業手順の標準化、進捗管理、品質保証、リスク対応といった製造プロセス全体の計画・運営・改善を行う業務が該当する。
・特に、宇宙分野においては、将来的に宇宙機の量産を行うようになった場合に、製造の現場における工程管理業務が重要となる。"
観測要求調整,"・利用者からの観測要求があった場合に、利用者との調整やニーズの反映を行う業務。
・具体的には、観測対象・時刻・解像度等の要求条件を整理し、衛星運用計画との整合性を確認した上で、観測スケジュールを調整する業務が該当する。"
設備点検,"・打上げ前に設備の健全性・機能性を確認する業務。
・具体的には、発射台、燃料供給系、電力・通信系、冷却・排気系、安全装置等の各設備について、動作確認、センサチェック、インタフェース試験、冗長系の切替試験等を行う業務が該当する。"
調達コスト・実績管理,"・調達にかかる費用と実績を管理する業務。
・具体的には、見積取得、予算との比較、コスト分析、調達実績の記録・報告を行う業務が該当する。
・特に、宇宙分野においては、高額部品・特殊仕様が多く、コスト管理がプロジェクトの成否に直結する。"
調達品選定,"・調達部門で業界共通的に行う調達品選定業務。
・具体的には、システムの要求水準に基づき適切な部材を選定し、適切な発注先を調査・選定することができる業務が該当する。
・特に宇宙分野においては、厳格な仕様に合致した部材を探索・選定することが重要となる。"
財務管理,"・企業活動における資金の調達・運用・管理を適切に行い、経営の健全性を維持する業務。
・具体的には、財務諸表の作成・分析、資金繰り計画、キャッシュフロー管理、投資判断、資本構成の最適化、金融機関との折衝などを行う業務が該当する。
・特に、宇宙分野においては、長期開発プロジェクトに伴う多額の資金調達、政府補助金や国際的な資金スキームへの対応、為替リスク管理が求められる。"
資金調達,"・経営層と連携して資金調達を行う業務。
・具体的には、民間投資家・ベンチャーキャピタル・官公庁補助金等からの資金獲得を企画・実行する業務が該当する。
・特に、宇宙分野においては、長期開発・高額投資が必要なため、多様な資金源の確保が重要となる。"
軌道制御,"・目標地点への正確な到達に向けて、衛星の軌道を監視し、維持・修正を行う業務。
・具体的には、コマンドの送信、マヌーバ（推進剤を噴射して軌道を変更する操作）の要否を検討する業務。での軌道修正等を行う業務が該当する。"
輸出・安全保障貿易に関するコンプライアンス対応,"・輸出管理・安全保障貿易に関する法令順守の体制構築・対応を行う業務。
・具体的には、外為法・ITAR等に基づく製品・技術の管理、全社・案件横断の法令対応体制の構築・監視、監査対応、社内教育、を行う業務が該当する。
・特に、宇宙分野においては、軍事転用可能な技術が多く、厳格な管理が必要となる。"
輸出管理・安全保障貿易対応,"・調達品の輸出入に関する法令対応を行う業務。
・具体的には、外為法・ITAR等に基づく製品・技術の管理、該非判定、輸出許可取得、サプライヤ対応などの調達実務が該当する。
・特に、宇宙分野においては、軍事転用可能な部品・技術が多く、厳格なコンプライアンス対応が求められる。"
通信スケジュール管理,"・衛星と地上局との通信を円滑に行うために、通信インターバルを管理・調整する業務。
・具体的には、衛星の可視時間、地上局の稼働状況、通信容量等を考慮し、テレメトリ取得・コマンド送信のタイミングを最適化する業務が該当する。"
通信リンク構築,"・衛星と地上局との間で通信リンクを構築する業務。
・具体的には、衛星の可視時間に合わせてアンテナの指向制御を行い、周波数・変調方式・通信プロトコルの設定を通じて、安定した送受信状態を確保する業務が該当する。"
通信状態把握,"・打上げ前の通信系統の状態を把握する業務。
・具体的には、通信環境のモニタリング、信号強度の測定等を行う業務が該当する。"
通信系の製造,"・設計図に基づき、適切な材料・加工法を用いて、各種部品の製造を行う業務。
・製造された通信系の部品同士の組付けを行う業務。"
通信系の解析,・宇宙機の運用目的達成のために求められる機能・性能要件と、電磁波や磁気等の特定環境条件下における信頼性・安全性要件を満たすことができるように、宇宙輸送機や人工衛星、関連する各種設備について通信方式やネットワークを設計する段階において、特定の環境下におけるシミュレーションを行い、設計解を得る業務。
通信系の設計,・宇宙機の運用目的達成のために求められる機能・性能要件と、電磁波や磁気等の特定環境条件下における信頼性・安全性要件を満たすことができるよう、宇宙輸送機や人工衛星、関連する各種設備について、通信方式、周波数、ネットワーク等の設計を行う業務。
通信系の試験,・設計段階から製造後の段階において、設定したネットワークが機能・性能要件及び信頼性・安全性要件を満たしているかの検証を行う業務。
通信網設計・構築,"・衛星運用に必要な地上系通信網（地上局、ネットワーク、NOC（ネットワーク運用センタ）、リンク）のアーキテクチャ設計・構築・統合試験を行う業務。
・具体的には、TT&C（追跡・テレメトリ・コマンド）・ペイロード通信のリンク設計、ネットワークトポロジ・冗長化設計、帯域・スループット等のキャパシティ計画、セキュリティ設計、機器選定と導入、他社・外部地上局との相互接続試験、可用性・災害対策の設計を実施する。"
運用コンセプト設計,"・衛星システムの運用方針を明確化するために、運用コンセプト（CONOPS）を設計・文書化する業務。
・具体的には、運用目的、想定ユーザ、運用体制、通信タイミング、想定シナリオ、地上設備との関係等を整理し、関係者間の共通理解を形成する業務が該当する。"
運用保守,"・アプリケーションの継続運用・保守を行う業務。
・具体的には、システム監視、障害対応、アップデート管理等を行う業務が該当する。"
運用計画策定,"・衛星の安定運用と目的達成に向けて、短期・中期・長期の運用計画を策定する業務。
・具体的には、地上局との通信スケジュール調整、業務の割り当て、予算・リソースの管理等を行い、衛星業務の実現性を評価・管理する業務が該当する。"
降下追跡・制御,"・分離されたブースター等の降下を追跡・制御する業務。
・追跡では、レーダー・衛星・航空機等を用いて降下位置・速度を把握し、落下点を予測してリスク評価と関係機関への報告を行う。
・特に、水平離着陸型（スペースプレーン等）においては、降下物の姿勢や横方向の移動を調整し、安全な降下と回収を確保する。"
電気系の製造,"・設計図に基づき、適切な材料・加工法を用いて、各種部品の製造を行う業務。
・製造された電気系の部品同士の組付けおよび電気工事を行う業務。"
電気系の解析,・宇宙機の運用目的達成のために求められる機能・性能要件と、温度や振動等の特定環境条件下における信頼性・安全性要件を満たすことができるよう、制御盤や電源設備、蓄電・配電設備、太陽光電池パドル、ハーネス配線等を設計する段階において、特定の環境下におけるシミュレーションを行い、設計の最適化を行う業務。
電気系の設計,・宇宙機の運用目的達成のために求められる機能・性能要件と、温度や振動等の特定環境条件下における信頼性・安全性要件を満たすことができるよう、制御盤や電源設備、蓄電・配電設備、太陽光電池パドル、ハーネス配線等の設計を行う業務。
電気系の試験,・設計段階から製造後の段階において、製作した電気系システムが機能・性能要件及び信頼性・安全性要件を満たしているかの検証を行う業務。
飛行レンジ安全確保,"・宇宙輸送機の打上げに関わる地上および飛行の各段階において、人的・物的被害の防止を目的として安全性の評価・確認を行う業務。
・具体的には、打上げ計画に対してハザード（危険要因）の識別、安全要求の抽出、ハザード制御の妥当性確認、設計への反映状況、検証方法の設定等を審査し、地上安全計画および飛行安全計画を策定する業務を指す。
・特に、宇宙分野においては、打上げ時の破片落下や燃料漏洩等重大リスクを防ぐため、射場周辺の立入制限や飛行経路の安全確認を含む総合的な安全管理が求められる。"
ＨＫデータ処理,"・衛星や宇宙機のハウスキーピング（HK）データを取得・解析し、システムの健全性や運用状態を評価する業務。
・具体的には、温度・電圧・電流・姿勢などのテレメトリ情報を処理し、異常検知やトレンド分析を行う業務が該当する。
・特に、宇宙分野においては、運用中の衛星の安全性確保や障害予防、性能維持に不可欠である。"
ＩＲ（情報開示）,"・投資家向け情報開示を行う業務。
・具体的には、宇宙事業の進捗・収益性・リスク等を適切に開示する業務が該当する。
・特に、宇宙分野においては、長期投資・高リスク事業への理解促進が必要となる。"
ＩＴインフラ管理,"・宇宙機運用に関わる情報システムやネットワークのインフラを管理する業務。
・具体的には、サーバー・ネットワークの監視、セキュリティ対策、データバックアップ等を行う業務が該当する。"
ＰＲ・広報活動推進,"・企業や事業内容に関する理解促進および認知向上を目的として、PR・広報活動を企画・推進する業務。
・具体的には、企業の認知向上、情報発信、メディア対応、社内外コミュニケーションの設計等を行う業務が該当する。
・特に、宇宙分野においては、国家プロジェクトや国際連携に関わる情報を適切かつ迅速に発信するため、高い信頼性と調整力が求められる。"
ＰｏＣ・利用支援,"・宇宙関連サービスや技術の実用化に向けて、概念実証（PoC）や利用者への技術支援を行う業務。
・具体的には、試験的なシステム構築、データ提供、利用シナリオの検証、ユーザー要望に基づく機能改善提案等を行う業務が該当する。
・特に、宇宙分野においては、衛星データの解析や通信サービスの実証を通じて、運用性・信頼性を確認し、商用化や社会実装に向けた技術的課題を抽出することが重要となる。"
ＵＩ／ＵＸ設計,"・ユーザー視点で使いやすさや操作性向上等も考慮したUI/UX設計を行う業務。
・具体的には、可視化ダッシュボードの設計、API連携、デザインガイドライン策定等を行う業務が該当する。"
